product_id,position,image_url
288,1,https://samsonite.com.tn/4862-large_default/boss-alu.jpg
288,2,https://samsonite.com.tn/4863-large_default/boss-alu.jpg
288,3,https://samsonite.com.tn/4864-large_default/boss-alu.jpg
288,4,https://samsonite.com.tn/4865-large_default/boss-alu.jpg
288,5,https://samsonite.com.tn/4866-large_default/boss-alu.jpg
277,1,https://samsonite.com.tn/4716-large_default/pilot-case-pro-dlx-5-156.jpg
277,2,https://samsonite.com.tn/4717-large_default/pilot-case-pro-dlx-5-156.jpg
277,3,https://samsonite.com.tn/4718-large_default/pilot-case-pro-dlx-5-156.jpg
277,4,https://samsonite.com.tn/4719-large_default/pilot-case-pro-dlx-5-156.jpg
277,5,https://samsonite.com.tn/4720-large_default/pilot-case-pro-dlx-5-156.jpg
277,6,https://samsonite.com.tn/4721-large_default/pilot-case-pro-dlx-5-156.jpg
277,7,https://samsonite.com.tn/4722-large_default/pilot-case-pro-dlx-5-156.jpg
277,8,https://samsonite.com.tn/4723-large_default/pilot-case-pro-dlx-5-156.jpg
277,9,https://samsonite.com.tn/4724-large_default/pilot-case-pro-dlx-5-156.jpg
277,10,https://samsonite.com.tn/4725-large_default/pilot-case-pro-dlx-5-156.jpg
277,11,https://samsonite.com.tn/4726-large_default/pilot-case-pro-dlx-5-156.jpg
277,12,https://samsonite.com.tn/4727-large_default/pilot-case-pro-dlx-5-156.jpg
277,13,https://samsonite.com.tn/4728-large_default/pilot-case-pro-dlx-5-156.jpg
277,14,https://samsonite.com.tn/4729-large_default/pilot-case-pro-dlx-5-156.jpg
277,15,https://samsonite.com.tn/4730-large_default/pilot-case-pro-dlx-5-156.jpg
277,16,https://samsonite.com.tn/4731-large_default/pilot-case-pro-dlx-5-156.jpg
277,17,https://samsonite.com.tn/4732-large_default/pilot-case-pro-dlx-5-156.jpg
277,18,https://samsonite.com.tn/4733-large_default/pilot-case-pro-dlx-5-156.jpg
259,1,https://samsonite.com.tn/4487-large_default/pilote-case-pro-dlx-6-156.jpg
259,2,https://samsonite.com.tn/4488-large_default/pilote-case-pro-dlx-6-156.jpg
259,3,https://samsonite.com.tn/4489-large_default/pilote-case-pro-dlx-6-156.jpg
259,4,https://samsonite.com.tn/4490-large_default/pilote-case-pro-dlx-6-156.jpg
164,1,https://samsonite.com.tn/4350-large_default/urban-groova-ug12-sac-ordinateur-156.jpg
164,2,https://samsonite.com.tn/4352-large_default/urban-groova-ug12-sac-ordinateur-156.jpg
164,3,https://samsonite.com.tn/4353-large_default/urban-groova-ug12-sac-ordinateur-156.jpg
164,4,https://samsonite.com.tn/4354-large_default/urban-groova-ug12-sac-ordinateur-156.jpg
164,5,https://samsonite.com.tn/4355-large_default/urban-groova-ug12-sac-ordinateur-156.jpg
124,1,https://samsonite.com.tn/2601-large_default/hip-square-tablet-crossover-m-79.jpg
124,2,https://samsonite.com.tn/2602-large_default/hip-square-tablet-crossover-m-79.jpg
124,3,https://samsonite.com.tn/2603-large_default/hip-square-tablet-crossover-m-79.jpg
124,4,https://samsonite.com.tn/2604-large_default/hip-square-tablet-crossover-m-79.jpg
124,5,https://samsonite.com.tn/2605-large_default/hip-square-tablet-crossover-m-79.jpg
123,1,https://samsonite.com.tn/4969-large_default/at-work-sac-ordinateur-176.jpg
166,1,https://samsonite.com.tn/4330-large_default/urban-groove-ug4-sac-ordinateur-156.jpg
166,2,https://samsonite.com.tn/4331-large_default/urban-groove-ug4-sac-ordinateur-156.jpg
166,3,https://samsonite.com.tn/4332-large_default/urban-groove-ug4-sac-ordinateur-156.jpg
166,4,https://samsonite.com.tn/4333-large_default/urban-groove-ug4-sac-ordinateur-156.jpg
119,1,https://samsonite.com.tn/4315-large_default/roader-sac-ordinateur-173.jpg
119,2,https://samsonite.com.tn/4316-large_default/roader-sac-ordinateur-173.jpg
119,3,https://samsonite.com.tn/4317-large_default/roader-sac-ordinateur-173.jpg
119,4,https://samsonite.com.tn/4318-large_default/roader-sac-ordinateur-173.jpg
118,1,https://samsonite.com.tn/2543-large_default/guardit-classy-156.jpg
118,2,https://samsonite.com.tn/2544-large_default/guardit-classy-156.jpg
118,3,https://samsonite.com.tn/2545-large_default/guardit-classy-156.jpg
118,4,https://samsonite.com.tn/2546-large_default/guardit-classy-156.jpg
118,5,https://samsonite.com.tn/2547-large_default/guardit-classy-156.jpg
118,6,https://samsonite.com.tn/2548-large_default/guardit-classy-156.jpg
118,7,https://samsonite.com.tn/2549-large_default/guardit-classy-156.jpg
118,8,https://samsonite.com.tn/2550-large_default/guardit-classy-156.jpg
118,9,https://samsonite.com.tn/2551-large_default/guardit-classy-156.jpg
118,10,https://samsonite.com.tn/2552-large_default/guardit-classy-156.jpg
118,11,https://samsonite.com.tn/2553-large_default/guardit-classy-156.jpg
118,12,https://samsonite.com.tn/2554-large_default/guardit-classy-156.jpg
118,13,https://samsonite.com.tn/2555-large_default/guardit-classy-156.jpg
118,14,https://samsonite.com.tn/2556-large_default/guardit-classy-156.jpg
118,15,https://samsonite.com.tn/2557-large_default/guardit-classy-156.jpg
117,1,https://samsonite.com.tn/4830-large_default/at-work-sac-ordinateur-156.jpg
117,2,https://samsonite.com.tn/4831-large_default/at-work-sac-ordinateur-156.jpg
117,3,https://samsonite.com.tn/4832-large_default/at-work-sac-ordinateur-156.jpg
117,4,https://samsonite.com.tn/4833-large_default/at-work-sac-ordinateur-156.jpg
117,5,https://samsonite.com.tn/4834-large_default/at-work-sac-ordinateur-156.jpg
117,6,https://samsonite.com.tn/4835-large_default/at-work-sac-ordinateur-156.jpg
117,7,https://samsonite.com.tn/4836-large_default/at-work-sac-ordinateur-156.jpg
116,1,https://samsonite.com.tn/2523-large_default/at-work-sac-ordinateur-156.jpg
116,2,https://samsonite.com.tn/2524-large_default/at-work-sac-ordinateur-156.jpg
116,3,https://samsonite.com.tn/2525-large_default/at-work-sac-ordinateur-156.jpg
116,4,https://samsonite.com.tn/2526-large_default/at-work-sac-ordinateur-156.jpg
116,5,https://samsonite.com.tn/2527-large_default/at-work-sac-ordinateur-156.jpg
116,6,https://samsonite.com.tn/2528-large_default/at-work-sac-ordinateur-156.jpg
116,7,https://samsonite.com.tn/2529-large_default/at-work-sac-ordinateur-156.jpg
116,8,https://samsonite.com.tn/2530-large_default/at-work-sac-ordinateur-156.jpg
